contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
SPXW241118P02400000,2024-11-01 14:23:34+00:00,2400.0,0.05,0.0,0.05,0.0,0.0,30.0,114.0,4.6406291992187505,0.0,REGULAR,USD,2024-11-18
SPXW241118P02600000,2024-11-04 20:35:43+00:00,2600.0,0.1,0.0,0.05,0.0,0.0,,2.0,4.23437970703125,0.0,REGULAR,USD,2024-11-18
SPXW241118P02800000,2024-11-01 19:32:51+00:00,2800.0,0.1,0.0,0.05,0.0,0.0,200.0,774.0,3.8593753515625,0.0,REGULAR,USD,2024-11-18
SPXW241118P03000000,2024-11-06 01:23:33+00:00,3000.0,0.05,0.0,0.05,0.0,0.0,1.0,18.0,3.5156262109374996,0.0,REGULAR,USD,2024-11-18
SPXW241118P03200000,2024-11-04 14:38:04+00:00,3200.0,0.2,0.0,0.05,0.0,0.0,5.0,20.0,3.1875020312499998,0.0,REGULAR,USD,2024-11-18
SPXW241118P03400000,2024-11-06 19:01:54+00:00,3400.0,0.07,0.0,0.05,0.0,0.0,3.0,28.0,2.8906277734375,0.0,REGULAR,USD,2024-11-18
SPXW241118P03600000,2024-11-15 20:54:20+00:00,3600.0,0.05,0.0,0.1,0.0,0.0,2.0,175.0,2.718753203125,0.0,REGULAR,USD,2024-11-18
SPXW241118P03800000,2024-11-11 16:41:53+00:00,3800.0,0.05,0.0,0.1,0.0,0.0,1.0,1167.0,2.43750390625,0.0,REGULAR,USD,2024-11-18
SPXW241118P04000000,2024-11-11 18:11:30+00:00,4000.0,0.05,0.0,0.1,0.0,0.0,21.0,1481.0,2.16406708984375,0.0,REGULAR,USD,2024-11-18
SPXW241118P04200000,2024-11-15 16:40:02+00:00,4200.0,0.05,0.0,0.1,0.0,0.0,5.0,2034.0,1.9062504687500001,0.0,REGULAR,USD,2024-11-18
SPXW241118P04300000,2024-11-14 20:56:11+00:00,4300.0,0.05,0.0,0.1,0.0,0.0,48.0,4301.0,1.7773448632812499,0.0,REGULAR,USD,2024-11-18
SPXW241118P04400000,2024-11-15 16:40:28+00:00,4400.0,0.05,0.0,0.1,0.0,0.0,5.0,1417.0,1.65625171875,0.0,REGULAR,USD,2024-11-18
SPXW241118P04500000,2024-11-14 21:07:39+00:00,4500.0,0.05,0.0,0.1,0.0,0.0,253.0,11375.0,1.53515857421875,0.0,REGULAR,USD,2024-11-18
