contractSymbol,strike,Time to Maturity (Years),fairPrice
SPXW241118C03200000,3200.0,0.005479452054794521,2625.03
SPXW241118C03800000,3800.0,0.005479452054794521,1927.61
SPXW241118C04000000,4000.0,0.005479452054794521,1963.98
SPXW241118C04500000,4500.0,0.005479452054794521,1255.98
SPXW241118C04800000,4800.0,0.005479452054794521,1082.4
SPXW241118C04900000,4900.0,0.005479452054794521,838.31
SPXW241118C05000000,5000.0,0.005479452054794521,872.29
SPXW241118C05350000,5350.0,0.005479452054794521,517.26
SPXW241118C05380000,5380.0,0.005479452054794521,549.31
SPXW241118C05400000,5400.0,0.005479452054794521,467.09
SPXW241118C05425000,5425.0,0.005479452054794521,505.66
SPXW241118C05450000,5450.0,0.005479452054794521,370.89
SPXW241118C05460000,5460.0,0.005479452054794521,497.95
SPXW241118C05475000,5475.0,0.005479452054794521,352.91
SPXW241118C05550000,5550.0,0.005479452054794521,319.99
SPXW241118C05555000,5555.0,0.005479452054794521,430.12
SPXW241118C05575000,5575.0,0.005479452054794521,228.59
SPXW241118C05590000,5590.0,0.005479452054794521,275.25
SPXW241118C05595000,5595.0,0.005479452054794521,192.9
SPXW241118C05600000,5600.0,0.005479452054794521,312.14
SPXW241118C05645000,5645.0,0.005479452054794521,150.1
SPXW241118C05650000,5650.0,0.005479452054794521,220.81
SPXW241118C05655000,5655.0,0.005479452054794521,155.0
SPXW241118C05660000,5660.0,0.005479452054794521,210.79
SPXW241118C05670000,5670.0,0.005479452054794521,195.74
SPXW241118C05675000,5675.0,0.005479452054794521,151.6
SPXW241118C05680000,5680.0,0.005479452054794521,188.98
SPXW241118C05685000,5685.0,0.005479452054794521,191.96
SPXW241118C05690000,5690.0,0.005479452054794521,277.43
SPXW241118C05695000,5695.0,0.005479452054794521,172.39
SPXW241118C05700000,5700.0,0.005479452054794521,171.09
SPXW241118C05705000,5705.0,0.005479452054794521,177.6
SPXW241118C05710000,5710.0,0.005479452054794521,206.02
SPXW241118C05715000,5715.0,0.005479452054794521,273.0
SPXW241118C05720000,5720.0,0.005479452054794521,146.41
SPXW241118C05725000,5725.0,0.005479452054794521,143.35
SPXW241118C05730000,5730.0,0.005479452054794521,141.93
SPXW241118C05735000,5735.0,0.005479452054794521,187.8
SPXW241118C05740000,5740.0,0.005479452054794521,128.23
SPXW241118C05745000,5745.0,0.005479452054794521,119.22
SPXW241118C05750000,5750.0,0.005479452054794521,128.0
SPXW241118C05755000,5755.0,0.005479452054794521,114.37
SPXW241118C05760000,5760.0,0.005479452054794521,109.16
SPXW241118C05765000,5765.0,0.005479452054794521,101.59
SPXW241118C05770000,5770.0,0.005479452054794521,107.9
SPXW241118C05775000,5775.0,0.005479452054794521,102.65
SPXW241118C05780000,5780.0,0.005479452054794521,85.72
SPXW241118C05785000,5785.0,0.005479452054794521,83.24
SPXW241118C05790000,5790.0,0.005479452054794521,82.07
SPXW241118C05795000,5795.0,0.005479452054794521,102.65
SPXW241118C05800000,5800.0,0.005479452054794521,77.05000000000001
SPXW241118C05805000,5805.0,0.005479452054794521,72.85
SPXW241118C05810000,5810.0,0.005479452054794521,66.5
SPXW241118C05815000,5815.0,0.005479452054794521,61.95
SPXW241118C05820000,5820.0,0.005479452054794521,57.35
SPXW241118C05825000,5825.0,0.005479452054794521,53.599999999999994
SPXW241118C05830000,5830.0,0.005479452054794521,49.8
SPXW241118C05835000,5835.0,0.005479452054794521,46.599999999999994
SPXW241118C05840000,5840.0,0.005479452054794521,44.45
SPXW241118C05845000,5845.0,0.005479452054794521,36.85
SPXW241118C05850000,5850.0,0.005479452054794521,32.85
SPXW241118C05855000,5855.0,0.005479452054794521,29.2
SPXW241118C05860000,5860.0,0.005479452054794521,26.25
SPXW241118C05865000,5865.0,0.005479452054794521,21.9
SPXW241118C05870000,5870.0,0.005479452054794521,18.75
SPXW241118C05875000,5875.0,0.005479452054794521,15.85
SPXW241118C05880000,5880.0,0.005479452054794521,13.25
SPXW241118C05885000,5885.0,0.005479452054794521,10.8
SPXW241118C05890000,5890.0,0.005479452054794521,8.899999999999999
SPXW241118C05895000,5895.0,0.005479452054794521,7.2
SPXW241118C05900000,5900.0,0.005479452054794521,5.7
SPXW241118C05905000,5905.0,0.005479452054794521,4.45
SPXW241118C05910000,5910.0,0.005479452054794521,3.45
SPXW241118C05915000,5915.0,0.005479452054794521,2.6500000000000004
SPXW241118C05920000,5920.0,0.005479452054794521,2.0250000000000004
SPXW241118C05925000,5925.0,0.005479452054794521,1.4500000000000002
SPXW241118C05930000,5930.0,0.005479452054794521,1.1
